job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,nr.employed,y,date,id_,age_iterative,euribor3m_iterative,income,kidhome,teenhome,dt_customer,num_web_visits_month,i_d
blue-collar,married,basic,no,yes,no,telephone,146,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-09-19,3a7b7570-aba9-40bc-9f80-3433d064b5b7,35.0,4.857,73262,2,2,2012-09-10,27,3a7b7570-aba9-40bc-9f80-3433d064b5b7
retired,married,basic,no,yes,yes,telephone,174,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-01-03,c93f0774-c122-421b-ac44-2041dcc43609,54.0,4.857,117422,1,2,2012-04-05,15,c93f0774-c122-421b-ac44-2041dcc43609
blue-collar,married,basic,no,yes,no,telephone,312,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-02-28,8f63b4b2-6190-4fbe-a041-b0c472c596c7,35.0,3.53533307647281,70235,1,1,2012-03-11,27,8f63b4b2-6190-4fbe-a041-b0c472c596c7
blue-collar,married,basic,no,yes,yes,telephone,440,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-03-29,714f78d0-c23e-40ff-b892-bfeacc4223f8,40.28549566237085,4.857,106688,1,1,2012-01-22,5,714f78d0-c23e-40ff-b892-bfeacc4223f8
blue-collar,married,basic,no,yes,yes,telephone,353,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-10-25,4b568fd1-8690-48a4-a1e5-7497bb533047,50.0,4.857,99745,2,2,2012-12-11,20,4b568fd1-8690-48a4-a1e5-7497bb533047
management,single,basic,no,no,no,telephone,195,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-07-01,74bf1569-4bdb-49e4-98ba-c1c607d90596,39.0,3.6067782612906254,173275,2,0,2012-04-17,26,74bf1569-4bdb-49e4-98ba-c1c607d90596
unemployed,married,high.school,no,no,no,telephone,38,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-04-20,e9170af6-b4f8-4700-b954-836f94372fd8,30.0,4.857,32331,1,2,2012-02-27,28,e9170af6-b4f8-4700-b954-836f94372fd8
blue-collar,married,basic,no,yes,no,telephone,262,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-08-11,47591c83-e88b-40c2-bb8e-de40b94a44cb,55.0,4.857,158116,0,2,2012-10-08,21,47591c83-e88b-40c2-bb8e-de40b94a44cb
retired,single,high.school,no,yes,no,telephone,342,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-06-19,1c85ef8a-60a1-424d-804c-f712ccd612cc,55.0,4.857,38474,0,0,2012-03-20,2,1c85ef8a-60a1-424d-804c-f712ccd612cc
technician,single,high.school,no,yes,no,telephone,181,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2015-06-10,f480284a-908b-4575-9ce5-28b396d54e36,40.28549566237085,4.857,179682,2,0,2012-09-26,17,f480284a-908b-4575-9ce5-28b396d54e36
admin,married,high.school,no,yes,no,telephone,172,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-05-19,2a14bcd3-a981-45c2-ac76-79323567627c,37.0,4.857,49728,1,2,2012-02-07,12,2a14bcd3-a981-45c2-ac76-79323567627c
technician,married,university.degree,no,no,yes,telephone,99,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-03-19,c298253f-fcd6-45cb-a6b0-9815ec3e7c13,35.0,3.53533307647281,176324,1,0,2012-04-04,1,c298253f-fcd6-45cb-a6b0-9815ec3e7c13
technician,married,unknown,no,yes,no,telephone,93,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-09-25,cbf9c247-762f-40f9-a351-a7e686ac7488,40.28549566237085,4.857,104766,0,2,2012-12-19,32,cbf9c247-762f-40f9-a351-a7e686ac7488
self-employed,married,basic,no,no,no,telephone,233,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-11-23,b4861606-8206-4f41-acd5-63b48d5596a1,39.0,4.857,118851,0,2,2012-02-08,30,b4861606-8206-4f41-acd5-63b48d5596a1
technician,single,university.degree,no,no,no,telephone,255,2,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-06-19,f52b8aff-2bab-496e-9b18-95925894c0ed,54.0,3.8746977043574375,54609,1,1,2012-01-08,25,f52b8aff-2bab-496e-9b18-95925894c0ed
unknown,married,university.degree,no,unknown,no,telephone,362,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2015-07-01,943bc97d-2618-4ba3-b2dc-5a3d1571446a,55.0,4.857,75488,1,1,2012-08-30,26,943bc97d-2618-4ba3-b2dc-5a3d1571446a
admin,married,unknown,no,no,no,telephone,348,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-06-19,61bec99d-c1d2-4231-aa6a-37a002c9af42,46.0,3.731807334721805,172888,1,2,2012-11-01,10,61bec99d-c1d2-4231-aa6a-37a002c9af42
technician,married,unknown,no,yes,no,telephone,386,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-04-14,9eaba08c-51a8-477f-93b6-ad65fb0b6f03,59.0,3.964004185379708,90838,1,0,2012-05-10,7,9eaba08c-51a8-477f-93b6-ad65fb0b6f03
blue-collar,married,unknown,no,no,no,telephone,73,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-01-04,69cb4917-d4e6-456f-a840-c5c411bac44c,49.0,4.857,20361,2,0,2012-11-14,32,69cb4917-d4e6-456f-a840-c5c411bac44c
management,married,basic,no,yes,no,telephone,230,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-10-05,a028192c-3c95-4935-aa95-06515e5fd38d,54.0,4.857,128876,0,2,2012-10-06,1,a028192c-3c95-4935-aa95-06515e5fd38d
blue-collar,divorced,basic,no,no,no,telephone,208,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-06-19,ebf703d5-d980-47bc-a8eb-6de16260483f,40.28549566237085,4.857,121937,2,2,2012-10-29,21,ebf703d5-d980-47bc-a8eb-6de16260483f
unknown,married,basic,no,yes,no,telephone,336,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-02-11,7aeeda6f-95df-402b-a8d8-817764f4dafe,55.0,3.8925590005618913,73868,1,1,2012-02-29,14,7aeeda6f-95df-402b-a8d8-817764f4dafe
services,married,high.school,no,no,no,telephone,365,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-10-17,7c50f0e5-8fb1-41f3-a18a-20bd5fc9a3d9,34.0,3.517471780268356,83851,1,1,2012-10-18,12,7c50f0e5-8fb1-41f3-a18a-20bd5fc9a3d9
technician,married,basic,no,yes,no,telephone,1666,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-06-19,a7eb98b2-0163-4375-a6a5-40b5f2ce6428,52.0,4.857,71669,2,2,2012-04-16,26,a7eb98b2-0163-4375-a6a5-40b5f2ce6428
admin,married,university.degree,no,yes,no,telephone,577,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-04-26,a9280a68-5b1e-448c-98c9-271eba3e4a30,41.0,4.857,50412,0,0,2012-05-05,2,a9280a68-5b1e-448c-98c9-271eba3e4a30
technician,married,basic,no,yes,no,telephone,137,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-04-23,b1d3e69b-43f5-4983-ba00-37dcc3979e84,56.0,4.857,35940,1,0,2012-11-15,15,b1d3e69b-43f5-4983-ba00-37dcc3979e84
management,unknown,university.degree,no,yes,no,telephone,366,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2015-09-15,e03dc123-10b3-42f2-9d18-c26a53c7a473,58.0,4.857,131696,2,0,2012-12-23,3,e03dc123-10b3-42f2-9d18-c26a53c7a473
entrepreneur,married,high.school,no,yes,no,telephone,314,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-06-19,41f0832d-fea4-47dc-81c3-ad5a528a2fb7,32.0,4.857,55182,2,0,2012-11-20,7,41f0832d-fea4-47dc-81c3-ad5a528a2fb7
admin,single,professional.course,no,no,no,telephone,160,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2015-03-12,dd9279a9-2d85-4f87-b87b-560f5224d46a,38.0,4.857,170859,2,2,2012-04-11,28,dd9279a9-2d85-4f87-b87b-560f5224d46a
admin,married,university.degree,no,no,yes,telephone,212,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-06-06,45576313-a078-48e8-803c-b5fec072ee53,40.28549566237085,4.857,65477,0,0,2012-09-10,24,45576313-a078-48e8-803c-b5fec072ee53
admin,married,university.degree,no,yes,no,telephone,188,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2015-01-05,f2e69637-04fb-4d2d-813e-b15e061776e9,44.0,4.857,122815,2,1,2012-05-14,28,f2e69637-04fb-4d2d-813e-b15e061776e9
technician,single,professional.course,no,no,no,telephone,22,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-01-08,01d47e8f-32e7-4fd8-8188-2761a09f42bb,42.0,4.857,52087,0,2,2012-03-09,13,01d47e8f-32e7-4fd8-8188-2761a09f42bb
admin,married,university.degree,no,yes,yes,telephone,616,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-10-15,170ae51e-abde-4832-a157-f1bf0f630e83,57.0,4.857,136434,1,1,2012-07-03,3,170ae51e-abde-4832-a157-f1bf0f630e83
blue-collar,married,basic,no,no,yes,telephone,178,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-08-15,6beb1eea-2343-42c1-9881-378c64cf08e5,40.0,3.624639557495081,48855,2,1,2012-08-21,11,6beb1eea-2343-42c1-9881-378c64cf08e5
admin,married,university.degree,no,yes,no,telephone,355,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-06-19,6155f7ed-fc77-4de5-8f66-386c9a85d74a,35.0,3.53533307647281,14091,1,2,2012-03-23,15,6155f7ed-fc77-4de5-8f66-386c9a85d74a
blue-collar,married,basic,no,yes,no,telephone,225,2,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-05-15,652ef647-2ee2-4afd-8cd1-105ff08b9dfb,45.0,4.857,49376,1,2,2012-11-21,18,652ef647-2ee2-4afd-8cd1-105ff08b9dfb
admin,married,high.school,no,no,no,telephone,160,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-05-23,89d515a3-7191-4a7c-b166-692bd3eb0e2e,54.0,4.857,141524,1,2,2012-01-10,32,89d515a3-7191-4a7c-b166-692bd3eb0e2e
housemaid,married,basic,no,no,yes,telephone,266,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2015-10-02,d43355a7-b518-46f4-8713-b9daba3e586f,39.0,3.6067782612906254,139751,0,2,2012-06-23,15,d43355a7-b518-46f4-8713-b9daba3e586f
admin,married,high.school,no,no,no,telephone,253,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-07-20,b575bf38-fde5-4980-a253-e5d2a7c6622d,60.0,3.981865481584162,175358,2,1,2012-07-27,8,b575bf38-fde5-4980-a253-e5d2a7c6622d
admin,single,professional.course,no,no,no,telephone,179,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-10-22,fc488ebf-de25-4108-a5e0-881010bcb6db,39.52402690163146,3.616138060999768,43378,1,0,2012-01-13,14,fc488ebf-de25-4108-a5e0-881010bcb6db
blue-collar,married,basic,no,no,no,telephone,269,2,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-07-24,a53d19c6-cc04-4e56-936c-2af714cb0691,55.0,4.857,171806,2,1,2012-04-01,26,a53d19c6-cc04-4e56-936c-2af714cb0691
technician,married,professional.course,no,yes,no,telephone,135,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-02-04,b49bf23e-16c4-4e10-8bad-cff8277af141,40.28549566237085,4.857,82735,2,1,2012-09-15,5,b49bf23e-16c4-4e10-8bad-cff8277af141
management,married,university.degree,no,no,yes,telephone,161,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-06-19,3cd59535-e982-46ec-8bdb-5540b42f98c7,50.0,3.803252519539621,21488,1,2,2012-07-13,29,3cd59535-e982-46ec-8bdb-5540b42f98c7
services,married,high.school,no,yes,no,telephone,787,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-11-16,b9e57bd9-32b6-48db-be0b-399968bb4458,45.0,4.857,165897,1,2,2012-11-28,3,b9e57bd9-32b6-48db-be0b-399968bb4458
unemployed,married,professional.course,no,yes,yes,telephone,145,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-08-08,c70bda4e-ab87-48ad-a248-c654a465ba18,55.0,4.857,20845,2,2,2012-09-27,1,c70bda4e-ab87-48ad-a248-c654a465ba18
technician,single,university.degree,no,yes,no,telephone,174,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-11-22,df2754f0-ab9d-4392-969f-255be30bcf95,25.0,3.356720114428269,42782,0,1,2012-05-14,15,df2754f0-ab9d-4392-969f-255be30bcf95
entrepreneur,married,university.degree,no,no,no,telephone,449,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-01-13,4c4427bf-a4b4-4127-a461-a0db67bb5508,40.28549566237085,4.857,140136,2,2,2012-07-18,14,4c4427bf-a4b4-4127-a461-a0db67bb5508
blue-collar,married,basic,no,yes,no,telephone,812,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2015-04-15,356fc69e-a248-4af2-ae28-c2c8d3aa779d,51.0,4.857,76853,2,0,2012-11-12,23,356fc69e-a248-4af2-ae28-c2c8d3aa779d
blue-collar,married,basic,no,yes,no,telephone,164,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-10-08,7d2ddb31-a03d-45cf-8fdc-b35e6bbda707,40.28549566237085,4.857,61337,0,1,2012-02-24,7,7d2ddb31-a03d-45cf-8fdc-b35e6bbda707
blue-collar,married,basic,no,no,no,telephone,366,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-09-30,4d0f692b-c599-45a2-b496-3b4fb0ca3a41,42.0,4.857,178376,1,1,2012-06-10,18,4d0f692b-c599-45a2-b496-3b4fb0ca3a41
admin,married,high.school,no,no,no,telephone,357,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-06-07,d8ea4803-4a98-402e-a522-03302ef278b5,48.0,4.857,83568,0,2,2012-01-06,18,d8ea4803-4a98-402e-a522-03302ef278b5
admin,married,university.degree,no,no,no,telephone,232,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-10-26,472c21b6-733b-448a-b97e-0899d471b051,37.0,4.857,114438,1,0,2012-06-06,32,472c21b6-733b-448a-b97e-0899d471b051
blue-collar,single,basic,no,yes,no,telephone,91,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-10-07,c2c2c999-1f3d-48ac-9a17-562777356f88,40.28549566237085,4.857,128341,2,0,2012-10-29,13,c2c2c999-1f3d-48ac-9a17-562777356f88
admin,married,unknown,no,yes,no,telephone,273,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-03-29,f9b67e3e-db2e-4089-85e1-df5462319653,40.28549566237085,4.857,26244,0,2,2012-05-18,16,f9b67e3e-db2e-4089-85e1-df5462319653
admin,married,basic,no,yes,no,telephone,158,2,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-02-08,ff8b1cfe-0ee6-4a62-ad9d-d602427107c7,56.0,4.857,130764,1,0,2012-03-30,8,ff8b1cfe-0ee6-4a62-ad9d-d602427107c7
blue-collar,single,basic,no,yes,yes,telephone,177,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-09-17,c5bee864-d04c-4e58-a813-8239b67d6345,40.28549566237085,4.857,141859,2,1,2012-02-06,4,c5bee864-d04c-4e58-a813-8239b67d6345
management,married,basic,no,no,no,telephone,200,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-10-24,c9264446-deae-4147-87a6-7f6d53a50af0,41.0,4.857,55445,0,2,2012-10-05,21,c9264446-deae-4147-87a6-7f6d53a50af0
management,divorced,university.degree,no,yes,no,telephone,172,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-01-05,5df79f8e-3ec3-48f9-bbff-b21447c79099,44.0,3.696084742312896,77947,1,1,2012-04-29,11,5df79f8e-3ec3-48f9-bbff-b21447c79099
admin,married,university.degree,no,yes,no,telephone,176,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-07-12,6444da89-9436-4b09-ad38-159551c260e3,47.0,4.857,67439,0,1,2012-03-05,9,6444da89-9436-4b09-ad38-159551c260e3
unknown,married,unknown,no,no,no,telephone,211,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-06-18,6e4cd355-435a-4d7b-b2f5-92d64c706a05,57.0,4.857,80033,0,0,2012-01-15,11,6e4cd355-435a-4d7b-b2f5-92d64c706a05
admin,married,university.degree,no,yes,no,telephone,214,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2015-01-22,d3fd430a-83ab-48fb-ad0f-29219a273d56,37.0,4.857,93745,0,2,2012-07-16,27,d3fd430a-83ab-48fb-ad0f-29219a273d56
blue-collar,divorced,basic,no,yes,no,telephone,1575,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,yes,2017-02-14,52fe0cf8-74be-4760-a5fe-ac78c82cfe52,41.0,4.857,51945,1,1,2012-05-16,32,52fe0cf8-74be-4760-a5fe-ac78c82cfe52
technician,married,university.degree,no,no,no,telephone,349,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-07-31,fd488945-dcb1-4c93-ae06-2b2378db0bd0,55.0,4.857,177873,0,0,2012-07-13,11,fd488945-dcb1-4c93-ae06-2b2378db0bd0
services,married,high.school,no,yes,no,telephone,337,2,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-10-04,983b0a18-7d54-4900-bc06-ba7b30e17f49,40.28549566237085,4.857,121966,1,1,2012-08-08,31,983b0a18-7d54-4900-bc06-ba7b30e17f49
management,married,unknown,no,yes,no,telephone,272,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-09-05,be6c8341-fb40-4158-8d62-81fb98648760,55.0,4.857,167586,0,1,2012-02-12,18,be6c8341-fb40-4158-8d62-81fb98648760
blue-collar,married,basic,no,no,no,telephone,208,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-02-07,f583f88c-58de-40db-bcae-b2b9105fa153,42.0,4.857,70480,1,2,2012-08-19,13,f583f88c-58de-40db-bcae-b2b9105fa153
blue-collar,married,basic,no,yes,no,telephone,193,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-08-19,cc1029bd-87da-4de0-8735-a3b090df62c0,50.0,4.857,18714,2,2,2012-08-10,23,cc1029bd-87da-4de0-8735-a3b090df62c0
blue-collar,married,basic,no,unknown,no,telephone,212,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2015-05-14,cf01e33c-2eb7-4020-8c72-879d3489bfa1,51.0,3.8211138157440754,74584,0,1,2012-08-27,14,cf01e33c-2eb7-4020-8c72-879d3489bfa1
admin,married,high.school,no,no,no,telephone,165,2,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-01-13,e6382798-c0b1-4337-af1b-ee9196f5c831,38.0,4.857,7462,2,2,2012-08-20,21,e6382798-c0b1-4337-af1b-ee9196f5c831
entrepreneur,married,university.degree,no,yes,no,telephone,1042,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,yes,2016-11-23,d3ea4624-cbe7-40bf-8324-cc3c763f0e80,49.0,4.857,153359,0,2,2012-11-15,9,d3ea4624-cbe7-40bf-8324-cc3c763f0e80
technician,single,university.degree,no,no,yes,telephone,20,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-09-10,d652e74e-8e59-4eb0-ada7-512f3d11ea40,38.0,3.588916965086172,138685,2,0,2012-12-25,20,d652e74e-8e59-4eb0-ada7-512f3d11ea40
admin,divorced,high.school,no,no,no,telephone,246,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-06-18,18060794-5ed8-44ab-8b30-ceb9cc3222fd,31.0,4.857,116608,1,0,2012-07-20,13,18060794-5ed8-44ab-8b30-ceb9cc3222fd
management,married,basic,no,no,no,telephone,529,2,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-08-28,360a3c07-d566-4079-9550-6c6c6422f5f2,40.28549566237085,4.857,14417,1,0,2012-07-30,1,360a3c07-d566-4079-9550-6c6c6422f5f2
admin,married,university.degree,no,yes,yes,telephone,192,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-11-18,1246ce73-1096-4b01-b971-0bffb7ca7fee,39.0,3.6067782612906254,99031,0,0,2012-08-28,21,1246ce73-1096-4b01-b971-0bffb7ca7fee
technician,married,basic,no,no,no,telephone,1467,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,yes,2015-05-17,01fe1411-bb08-4ae3-8252-0e7385580955,49.0,4.857,93507,2,1,2012-10-19,15,01fe1411-bb08-4ae3-8252-0e7385580955
admin,married,high.school,no,yes,no,telephone,188,2,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-10-26,1a7cb055-189b-4261-a521-bd11ec6ab304,34.0,3.517471780268356,68707,1,0,2012-02-09,16,1a7cb055-189b-4261-a521-bd11ec6ab304
admin,married,university.degree,no,yes,no,telephone,180,2,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2016-08-27,a068e668-ee92-47ab-94b3-2c6f0660c267,35.0,3.53533307647281,119162,1,0,2012-07-09,1,a068e668-ee92-47ab-94b3-2c6f0660c267
unknown,married,unknown,no,yes,no,telephone,48,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-09-30,1d488b7c-d680-4210-87f4-caab6d9ee03f,40.28549566237085,4.857,74474,2,1,2012-09-04,13,1d488b7c-d680-4210-87f4-caab6d9ee03f
admin,married,unknown,no,no,yes,telephone,213,2,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2019-02-23,27c0a2c1-7538-4097-a0c8-501fbf55dfee,60.0,4.857,111496,2,0,2012-02-18,19,27c0a2c1-7538-4097-a0c8-501fbf55dfee
unemployed,married,basic,no,no,no,telephone,545,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-06-19,3e29229f-9ee7-455c-b623-63250793db56,33.0,4.857,95189,0,0,2012-07-18,22,3e29229f-9ee7-455c-b623-63250793db56
blue-collar,married,basic,no,no,yes,telephone,583,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2017-09-20,8e84714f-4768-41e6-bc2b-2dff581e12b8,42.0,4.857,45768,1,1,2012-06-17,21,8e84714f-4768-41e6-bc2b-2dff581e12b8
services,married,professional.course,no,yes,no,telephone,221,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2015-08-17,aa9a96e2-a1f0-48b9-bd12-0d082fc65f56,45.0,4.857,122783,0,0,2012-11-03,3,aa9a96e2-a1f0-48b9-bd12-0d082fc65f56
management,married,university.degree,no,no,no,telephone,426,1,999,0,nonexistent,1.1,93.994,-36.4,5191.0,no,2018-11-28,9eada552-2e0f-4e25-bc52-86b419bcf3b8,42.0,3.660362149903989,98678,0,0,2012-12-02,31,9eada552-2e0f-4e25-bc52-86b419bcf3b8
